n1,n2,n3,darija_ar,eng
9ahwa,9hwa,9ehwa,قهوة,coffee
korsi,krsi,,كرسي,chair
tabla,tbla,,طبلة,table
kas,,,كاس,glass
ma,lma,,ماء,water
8wa,8awa,,هوا,air
9r3a,9ar3a,,قرعة,bottle
dar,,,دار,house
bit,,,بيت,room
mdrasa,medrasa,,مدرسة,school
Tomobil,tomobil,Tomobila,طوموبيل,car
motor,moteur,,موتور,motorcycle
chffar,cheffar,,شفار,thief
mol7anout,moll7anout,,مولحانوت,grocery seller
molpisri,,,مولبيسري,grocery seller
chjra,chejra,chajra,شجرة,tree
3imara,,,عمارة,building
partma,prtma,,بارتمة,apartment
jrda,jerda,jarda,جردة,garden
n3as,naas,,نعاس,sleep
wld,wald,weld,ولد,boy
bnt,bent,,بنت,girl
pikala,picala,,بيكالا,bicycle
tobis,Tobis,,طوبيس,bus
chari3,chare3,,شارع,avenue
drb,derb,darb,درب,alley
7ouma,7oma,houma,حومة,neighborhood
drouj,droj,,دروج,stairs
nkhla,nekhla,nakhla,نخلة,date palm
lougha,logha,,لغة,language
3am,aam,,عام,year
fakhour,fakhor,fa5our,فخور,proud
lyom,lioma,liom,ليوم,today
lbar7,lbare7,lbareh,لبارح,yesterday
ghdda,gheda,ghada,غدا,tomorrow
namousia,,,ناموسية,bed
Se8d,Sa8d,Sahd,صهد,heat
3aada,3ada,,عادة,habit
ntikhabat,intikhabat,inti5abat,انتخابات,elections
brlaman,barlaman,barlamane,برلمان,parliament
malik,,,ملك,king
wzir,wazir,,وزير,minister
brlamani,,,برلماني,deputy
gdd,,,ڭدّ,equal
ktichaf,,,كتيشاف,discovery
chi haja,,,شي حاجة,something
charika,,,شركة,company
mo9awala,moqawala,,مقاولة,enterprise
chaark,chark,,شارك,contribute
Sa7b,Sahb,,صاحب,friend
3chir,3cher,aachir,عشير,best friend
Sa7bi,Sahbi,,صاحبي,my friend
3chiri,aachiri,,عشيري,my best friend
sou9,souk,souq,سوق,market
marchi,,,مارشي,market
frassi,frasi,,فراسي,I know
frask,frasek,frassek,فراسك,you know
ta3,nta3,,تاع,of
dyal,dial,diyal,ديال,of
khlaS,5laS,,خلاص,payment
nhar,n8ar,,نهار,day
7arb,harb,7erb,حرب,war
7bs,7abs,7ebs,حبس,prison
7bbas,habbas,hebbas,حبّاس,prisoner
jarima,,,جريمة,crime
frdi,ferdi,fardi,فردي,gun
mk7la,mok7la,,مكحلة,rifle
9rtas,9artas,qartass,قرطاس,gun bullets
mous,,,موس,knife
m3il9a,,,معيلقة,spoon
3ach9a,,,عاشقة,spoon
frchiTa,forchita,forchiTa,فرشيطة,fork
biro,lbiro,,بيرو,desk
chrjm,cherjem,charjam,شرجم,window
jar,,,جار,neighbor
jiran,,,جيران,neighbors
fya9,fia9,fiaq,فياق,wake up
Sda3,,,صداع,noise
tanffos,,,تنفس,breathing
3oman,,,عومان,swimming
7araka,haraka,,حركة,movement
wo9ouf,woqof,wo9of,وقوف,stop
t7m7ima,t7am7ima,thamhima,تحميمة,shower
7mmam,hammam,,حمّام,bathroom
bitn3as,bit nn3as,bit n3as,بيت نعاس,bedroom
kouzina,kozina,,كوزينة,kitchen
Twalit,Twalet,,طواليت,toilet
trikko,triko,,تريكو,sweater
nDadr,nDader,,نضاضر,glasses
3amalia,,,عملية,operation
3amaliat,,,عمليات,operations
Tibibt,,,طيبيبت,Striolated bunting
Sa7afa,,,صحافة,journalism
mSdar,maSdar,,مصدر,reference
mnb3,manba3,manbaa,منبع,source
3adawa,,,عداوة,hate
3onf,3ounf,,عنف,violence
mamlaka,memlaka,,مملكة,kingdom
jomhoria,jom8oria,jomhorya,جمهورية,republic
jm8or,jom8our,jomhor,جمهور,public
mowatin,,,مواطن,citizen
tsrkila,,,تسركيلة,a walk
mosta9ill,mosta9il,mostaqill,مستقل,independent
3skr,3askar,3esker,عسكر,army
3arabia,l3arabia,,عربية,arabic
ni9ach,niqach,,نقاش,dialog
mzian,mezian,mziane,مزيان,well
Tri9,Triq,,طريق,road
moSala7a,moSalaha,,مصالحة,conciliation
rafD,,,رفض,rejection
khibra,5ibra,,خبرة,expertise
ljna,lajna,lejna,لجنة,committee
dawla,doula,,دولة,state
7o9o9,7o9ou9,hoqouq,حقوق,rights
7e99,7a9,7e9,حق,right
9owwa,qowa,9oaw,قوة,power
Tbsil,Tabsil,Tebsil,طبسيل,plate
mma3n,mmwa3n,mma3en,الماعن,dishes
clim,laclim,laklim,كليم,air conditioner
mochkil,mouchkil,,مشكل,problem
tsalim,,,تساليم,handshake
3afia,aafia,,عافية,fire
l8ja,le8ja,la8ja,لهجة,accent
ksida,,,كسيدة,accident
Tyyara,Teyyara,,طيارة,airplane
faDa2i,,,فضائي,alien
moghamara,,,مغامرة,adventure
naSi7a,,,نصيحة,advice
atar,2atar,,أثر,effect
3mr,3omor,,عمر,age
lanTir,,,لانطير,antenna
fas,,,فاس,ax
i7sas,ihsas,,إحساس,feeling
