darija,darija_ar,eng
zreb t3TTel,زرب تعطّل,hurry and you will be late
lli 3DDo l7nch kaykhaf mn l7bel,اللي عضّو لحنش كايخاف من لحبل,a man bitten by a snake is afraid of rope
kon sb3 o koulni,كون سبع أُ كولني,be a lion and eat me
kaydo99 wigoul chkoun,كايدوقّ ويڭول شكون,he knocks and says who is there
walaw Tart m3za,والاو طارت معزا,when pigs fly
9Tra b 9Tra kay7ml lwad,قطرا ب قطرا كايحمل لواد,little drops make the mighty ocean
sdd tl9a mat7ell,سدّ تلقا ماتحلّ,lock so that you can find what to unlock
lli khaf nja,اللي خاف نجا,He who fears survives
l3in baSira olyed 9aSira,لعين باصيرا أُليد قاصيرا,the eyes see but the hands cannot reach
SSara7a ra7a,الصاراحا راحا,frankness is peace of mind
SSadi9 we9t DDi9,الصاديق وقت الضيق,a friend in need is a friend indeed
khirha f ghirha,خيرها ف غيرها,better luck next time
Li darha b yeddih yfekha b sennih,لي دارها ب يدّيه يفخا ب سنّيه,Whoever caused the problem is responsible of fixing it
lli fat mat,اللي فات مات,what's done is done
